iteration,X,Y
0,-1,-36.4
1,-0.9994,-36.37174637
2,-0.9988,-36.34350548
3,-0.9982,-36.31527734
4,-0.9976,-36.28706192
5,-0.997,-36.25885925
6,-0.9964,-36.2306693
7,-0.9958,-36.20249208
8,-0.9952,-36.17432759
9,-0.9946,-36.14617582
10,-0.994,-36.11803677
11,-0.9934,-36.08991044
12,-0.9928,-36.06179682
13,-0.9922,-36.03369592
14,-0.9916,-36.00560773
15,-0.991,-35.97753224
16,-0.9904,-35.94946946
17,-0.9898,-35.92141939
18,-0.9892,-35.89338201
19,-0.9886,-35.86535733
20,-0.988,-35.83734534
21,-0.9874,-35.80934605
22,-0.9868,-35.78135945
23,-0.9862,-35.75338553
24,-0.9856,-35.7254243
25,-0.985,-35.69747575
26,-0.9844,-35.66953988
27,-0.9838,-35.64161668
28,-0.9832,-35.61370616
29,-0.9826,-35.58580832
30,-0.982,-35.55792314
31,-0.9814,-35.53005062
32,-0.9808,-35.50219077
33,-0.9802,-35.47434358
34,-0.9796,-35.44650905
35,-0.979,-35.41868718
36,-0.9784,-35.39087796
37,-0.9778,-35.36308139
38,-0.9772,-35.33529746
39,-0.9766,-35.30752619
40,-0.976,-35.27976755
41,-0.9754,-35.25202156
42,-0.9748,-35.2242882
43,-0.9742,-35.19656748
44,-0.9736,-35.16885939
45,-0.973,-35.14116393
46,-0.9724,-35.1134811
47,-0.9718,-35.0858109
48,-0.9712,-35.05815331
49,-0.9706,-35.03050835
50,-0.97,-35.002876
51,-0.9694,-34.97525627
52,-0.9688,-34.94764915
53,-0.9682,-34.92005463
54,-0.9676,-34.89247273
55,-0.967,-34.86490343
56,-0.9664,-34.83734673
57,-0.9658,-34.80980262
58,-0.9652,-34.78227112
59,-0.9646,-34.75475221
60,-0.964,-34.72724589
61,-0.9634,-34.69975216
62,-0.9628,-34.67227101
63,-0.9622,-34.64480245
64,-0.9616,-34.61734647
65,-0.961,-34.58990306
66,-0.9604,-34.56247223
67,-0.9598,-34.53505398
68,-0.9592,-34.50764829
69,-0.9586,-34.48025518
70,-0.958,-34.45287462
71,-0.9574,-34.42550663
72,-0.9568,-34.3981512
73,-0.9562,-34.37080833
74,-0.9556,-34.34347802
75,-0.955,-34.31616025
76,-0.9544,-34.28885503
77,-0.9538,-34.26156237
78,-0.9532,-34.23428224
79,-0.9526,-34.20701466
80,-0.952,-34.17975962
81,-0.9514,-34.15251711
82,-0.9508,-34.12528714
83,-0.9502,-34.0980697
84,-0.9496,-34.07086478
85,-0.949,-34.0436724
86,-0.9484,-34.01649254
87,-0.9478,-33.98932519
88,-0.9472,-33.96217037
89,-0.9466,-33.93502807
90,-0.946,-33.90789827
91,-0.9454,-33.88078099
92,-0.9448,-33.85367621
93,-0.9442,-33.82658395
94,-0.9436,-33.79950418
95,-0.943,-33.77243691
96,-0.9424,-33.74538215
97,-0.9418,-33.71833987
98,-0.9412,-33.69131009
99,-0.9406,-33.6642928
100,-0.94,-33.637288
101,-0.9394,-33.61029568
102,-0.9388,-33.58331585
103,-0.9382,-33.55634849
104,-0.9376,-33.52939361
105,-0.937,-33.50245121
106,-0.9364,-33.47552127
107,-0.9358,-33.44860381
108,-0.9352,-33.42169881
109,-0.9346,-33.39480628
110,-0.934,-33.36792621
111,-0.9334,-33.3410586
112,-0.9328,-33.31420344
