iteration,X,Y
0,100,-2.762596521
1,100.005,-2.761931947
2,100.01,-2.761267445
3,100.015,-2.760603012
4,100.02,-2.759938651
5,100.025,-2.759274359
6,100.03,-2.758610138
7,100.035,-2.757945988
8,100.04,-2.757281907
9,100.045,-2.756617898
10,100.05,-2.755953958
11,100.055,-2.755290089
12,100.06,-2.75462629
13,100.065,-2.753962562
14,100.07,-2.753298904
15,100.075,-2.752635316
16,100.08,-2.751971799
17,100.085,-2.751308352
18,100.09,-2.750644975
19,100.095,-2.749981668
20,100.1,-2.749318432
21,100.105,-2.748655266
22,100.11,-2.74799217
23,100.115,-2.747329145
24,100.12,-2.746666189
25,100.125,-2.746003304
26,100.13,-2.745340489
27,100.135,-2.744677744
28,100.14,-2.74401507
29,100.145,-2.743352465
30,100.15,-2.742689931
31,100.155,-2.742027467
32,100.16,-2.741365073
33,100.165,-2.740702749
34,100.17,-2.740040495
35,100.175,-2.739378311
36,100.18,-2.738716197
37,100.185,-2.738054154
38,100.19,-2.73739218
39,100.195,-2.736730277
40,100.2,-2.736068443
41,100.205,-2.73540668
42,100.21,-2.734744986
43,100.215,-2.734083363
44,100.22,-2.733421809
45,100.225,-2.732760326
46,100.23,-2.732098913
47,100.235,-2.731437569
48,100.24,-2.730776295
49,100.245,-2.730115092
50,100.25,-2.729453958
51,100.255,-2.728792894
52,100.26,-2.7281319
53,100.265,-2.727470976
54,100.27,-2.726810122
55,100.275,-2.726149338
56,100.28,-2.725488623
57,100.285,-2.724827979
58,100.29,-2.724167404
59,100.295,-2.723506899
60,100.3,-2.722846464
61,100.305,-2.722186098
62,100.31,-2.721525803
63,100.315,-2.720865577
64,100.32,-2.720205421
65,100.325,-2.719545335
66,100.33,-2.718885318
67,100.335,-2.718225371
68,100.34,-2.717565494
69,100.345,-2.716905687
70,100.35,-2.716245949
71,100.355,-2.715586281
72,100.36,-2.714926683
73,100.365,-2.714267154
74,100.37,-2.713607695
75,100.375,-2.712948306
76,100.38,-2.712288986
77,100.385,-2.711629736
78,100.39,-2.710970556
79,100.395,-2.710311445
80,100.4,-2.709652403
81,100.405,-2.708993432
82,100.41,-2.70833453
83,100.415,-2.707675697
84,100.42,-2.707016934
85,100.425,-2.70635824
86,100.43,-2.705699616
87,100.435,-2.705041062
88,100.44,-2.704382577
89,100.445,-2.703724161
90,100.45,-2.703065815
91,100.455,-2.702407538
92,100.46,-2.701749331
93,100.465,-2.701091193
94,100.47,-2.700433125
95,100.475,-2.699775126
96,100.48,-2.699117197
97,100.485,-2.698459337
98,100.49,-2.697801546
99,100.495,-2.697143825
100,100.5,-2.696486173
101,100.505,-2.69582859
102,100.51,-2.695171077
103,100.515,-2.694513633
104,100.52,-2.693856258
