iteration,error,value,
0,0.0029416804309983897,127.0,
1,0.0041723335596006855,126.62750235429816,
2,0.010308962350734252,126.10136539554685,
3,0.003888452425494203,124.8146558080023,
4,0.008185302124207665,125.30188623143793,
5,0.006219823368634256,126.33598443318273,
6,0.01906504484649672,125.5550541731862,
7,0.0016532141511645332,127.99529011945395,
8,0.0018214759137114946,127.78403574327027,
9,0.002051990735484071,127.55170338779652,
10,0.0023939687727416673,127.29050445194603,
11,0.002973365301264702,126.9865027298511,
12,0.004256046270598567,126.61004481580422,
13,0.011185151356256398,126.07347029274337,
14,0.0033900935964341983,124.67891772703227,
15,0.005645327201327764,125.10302870353465,
16,0.05446440791426189,125.81328586853672,
17,5.374499169292023E-4,119.31487200919024,
18,5.431696342596573E-4,119.37903226016155,
19,5.490717807547985E-4,119.44391056537789,
20,5.551662421261448E-4,119.50952987576395,
21,5.614636694523848E-4,119.57591438680286,
22,5.679755569901932E-4,119.64308963493392,
23,5.747143298660136E-4,119.71108260375368,
24,5.816934431660804E-4,119.77992184126609,
25,5.889274942148185E-4,119.8496375896178,
26,5.964323501687189E-4,119.92026192898122,
27,6.042252934509693E-4,119.99182893751546,
28,6.12325188051614E-4,120.06437486965409,
29,6.207526703211972E-4,120.13793835534966,
30,6.295303686326626E-4,120.21256062336276,
31,6.386831572161222E-4,120.28828575223456,
32,6.482384506225208E-4,120.365160953251,
33,6.582265467236972E-4,120.44323689052088,
34,6.686810279849182E-4,120.52256804428694,
35,6.796392330641877E-4,120.60321312481753,
36,6.911428137688152E-4,120.68523554574601,
37,7.032383962195256E-4,120.7687039676214,
38,7.159783700449128E-4,120.85369292481106,
39,7.294218359300477E-4,120.94028355190132,
40,7.436357504345906E-4,121.02856442956751,
41,7.58696318446201E-4,121.11863257479388,
42,7.746906990587217E-4,121.21059460667864,
43,7.917191116586206E-4,121.30456812736024,
44,8.098974579217066E-4,121.40068336855154,
45,8.293606157395567E-4,121.49908516876954,
46,8.502666181083967E-4,121.59993536603861,
47,8.728020117802149E-4,121.70341571773317,
48,8.971888096895868E-4,121.80973149643766,
49,9.236936280173729E-4,121.91911596296688,
50,9.526398662122913E-4,122.03183599228822,
51,9.844242014782501E-4,122.14819923646692,
52,0.0010195393227835732,122.26856336932767,
53,0.0010586058907433205,122.39334820066539,
54,0.0011024184849195344,122.52305182507926,
55,0.0011520133705342935,122.65827257209104,
56,0.0012087714345254698,122.79973951390919,
57,0.0012745800049921612,122.94835597453307,
58,0.0013520977650487414,123.10526348187636,
59,0.0014452100640435055,123.27193919535563,
60,0.0015598594560112785,123.45035088486414,
61,0.0017056780361893184,123.64321692595774,
62,0.00189952071489633,123.85447277986216,
63,0.0021741784813805714,124.0901846561318,
64,0.0026043049556849717,124.36056672423592,
65,0.0034106210013391306,124.68528523046261,
66,0.005725561370261265,125.11199482754085,
67,0.04236297170624999,125.83245627833317,
68,6.959098204804602E-4,120.71846342772258,
69,7.082566585362129E-4,120.8025310954508,
70,7.212706763541132E-4,120.88815093328743,
71,7.350139686706877E-4,120.97540694687822,
72,7.495570103691894E-4,121.06439096534636,
73,7.64980165445739E-4,121.15520369762062,
74,7.813755412299123E-4,121.24795597904543,
75,7.988492851036932E-4,121.34277025182529,
76,8.175244539418588E-4,121.43978233512685,
77,8.37544632729274E-4,121.53914355709593,
78,8.590785445635503E-4,121.64102334331682,
79,8.82325989134497E-4,121.74561238681308,
80,9.075255860723626E-4,121.85312656724065,
81,9.349650077358697E-4,121.96381184706678,
82,9.649947034787605E-4,122.07795045896202,
83,9.980466123697559E-4,122.19586882516529,
84,0.0010346601522038797,122.31794783863766,
85,0.0010755190716697043,122.4446364247975,
86,0.0011215049535755481,122.57646975575776,
87,0.0011737770203601033,122.71409422029936,
88,0.0012338949542294146,122.85830247250203,
89,0.0013040149700372452,123.01008399446214,
90,0.0013872167559629914,123.17070043169504,
91,0.0014880780745192299,123.34180224648203,
92,0.001613752380725866,123.52561801028457,
93,0.0017761632691096448,123.72527997540085,
94,0.00199698392856372,123.94542729072874,
95,0.00232075820329202,124.19343959363027,
96,0.002858113402667094,124.48233298907961,
97,0.00399421215794402,124.83913740086241,
98,0.008951048190355424,125.33977103821718,
